ISBN,Title,Author,Genre,Language,Thumbnail,Description,Rating
9.78035E+12,Death under a Tuscan Sun,Michele Giuttari,"Ferrara, Michele (Fictitious character)",EN,,,
9.78885E+12,La casa delle luci,Donato Carrisi,Fiction,IT,,,
9.78191E+12,The Caveman,Jørn Lier Horst,Fiction,EN,,,
9.78141E+12,The Cabin,Jørn Lier Horst,Fiction,EN,,,
9.78191E+12,Dregs,Jorn Lier Horst,Fiction,EN,,,
9.78001E+12,The Hunting Party,Lucy Foley,Scotland,EN,,,
9.78075E+12,"84 Charing Cross Road, and the Duchess of Bloomsbury Street",Helene Hanff,Unknown Genre,EN,,,
9.78141E+12,The Katharina Code,Jørn Lier Horst,Fiction,EN,,,
9.78035E+12,The Hunter of the Dark,Donato Carrisi,Fiction,EN,,,
9.78057E+12,A Talent for Murder,Peter Swanson,Fiction,EN,,,
9.78179E+12,The Ghosts of Rome,Joseph O'Connor,Fiction,EN,,,
9.78153E+12,The Girl with the Dragon Tattoo,Stieg Larsson,Fiction,EN,,,
9.7814E+12,STORM WE MADE,VANESSA. CHAN,Unknown Genre,EN,,,
9.78055E+12,Killing Floor,Lee Child,Criminal investigation,EN,,,
9.78001E+12,The Guest List,Lucy Foley,Unknown Genre,EN,,,
9.78001E+12,The Paris Apartment,Lucy Foley,Fiction,EN,,,
9.78035E+12,A Florentine Death,Michele Giuttari,Fiction,EN,,,
9.78001E+12,And Then There Were None,Agatha Christie,Fiction,EN,,,
9.78024E+12,The Thursday Murder Club,Richard Osman,Fiction,EN,,,
9.78075E+12,The Covent Garden Murder,Mike Hollow,Fiction,EN,,,
9.7818E+12,Murder on Lake Garda,Tom Hindle,Unknown Genre,EN,,,
9.78035E+12,The Housemaid's Secret,Freida McFadden,Fiction,EN,,,
9.78095E+12,Dracula,"Bram Stoker, James Pyman","Dracula, Count (Fictitious character)",EN,,,
9.78001E+12,Foundation,Isaac Asimov,Fiction,EN,,,
9781405938068,The Katharina Code,Jørn Lier Horst,Fiction,EN,http://books.google.com/books/content?id=xZSUswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,
9780199537198,The Lives of the Artists,Giorgio Vasari,Art,EN,http://books.google.com/books/content?id=wr0UDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,5.0
9780008234188,The Woman in the Window,A. J. Finn,New York (N.Y.),EN,http://books.google.com/books/content?id=ghnNwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,
9780008196516,The Murder at the Vicarage,Agatha Christie,Fiction,EN,http://books.google.com/books/content?id=tYpCvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,3.0
9780349144887,The Whisperer's Game,Donato Carrisi,Detective and mystery stories,EN,http://books.google.com/books/content?id=n9eKzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,
9781408718483,Death Writes,ANDREA. CARTER,Unknown Genre,EN,http://books.google.com/books/content?id=_k6izwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,
9780349140032,The Vanished Ones,Donato Carrisi,Missing persons,EN,http://books.google.com/books/content?id=Xh3CoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,5.0
9780349143958,Into the Labyrinth,Donato Carrisi,Criminal profilers,EN,http://books.google.com/books/content?id=tNfLywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,4.0
9781529042023,The Shape of Water: an Inspector Montalbano Novel 1,Andrea Camilleri,Fiction,EN,http://books.google.com/books/content?id=3OqhzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,4.0
9780349135595,The Mercy Chair,M. W. Craven,Fiction,EN,http://books.google.com/books/content?id=9DsMzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,4.0
9781405957618,The Wrong Sister,Claire Douglas,Fiction,EN,http://books.google.com/books/content?id=ynyA0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,
9781529927221,DEATH IN THE ARCTIC.,TOM. HINDLE,Unknown Genre,EN,http://books.google.com/books/content?id=RWWy0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,3.0
9788833672755,Places of the Impressionists Hb,VILLANI,Unknown Genre,EN,http://books.google.com/books/content?id=J7Su0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,5.0
9780751503845,84 Charing Cross Road,Helene Hanff,"Authors, American",EN,http://books.google.com/books/content?id=nWlOPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,
9781838772888,Mrs England,Stacey Halls,Fiction,EN,http://books.google.com/books/content?id=1U-bzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,From the bestselling author of The Familiars and The Foundling comes Stacey Halls' most compelling and ambitious novel to date.,
